Function                                                                                                                                                                                                                  CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
gomp_simple_barrier_wait                                                                                                                                                                                                    6.203s                   0.030s              6.103s                                           6.103s                                  0s                        0s                  0.070s                           0.070s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_simple_barrier_wait                                                                                                                                                                                                                                                                                                                                                                                                   simple-bar.h      0x1e7fc      
tVect::operator/                                                                                                                                                                                                            6.060s                   6.060s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x44caee     
tVect::operator*                                                                                                                                                                                                            5.877s                   5.877s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422a22     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                                                                               5.870s                   5.870s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x45ece7     
LB::findInterfaceMutants                                                                                                                                                                                                    5.788s                   5.788s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::findInterfaceMutants(void)                                                                                                                                                                                                                                                                                                                                                                                             LB.cpp            0x4579f0     
std::vector<Elongation, std::allocator<Elongation>>::size                                                                                                                                                                   5.700s                   5.700s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<Elongation, std::allocator<Elongation>>::size(void) const                                                                                                                                                                                                                                                                                                                                                      stl_vector.h      0x411780     
quaternion::operator+                                                                                                                                                                                                       5.598s                   5.598s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422ec6     
std::vector<Elongation, std::allocator<Elongation>>::size                                                                                                                                                                   5.130s                   5.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<Elongation, std::allocator<Elongation>>::size(void) const                                                                                                                                                                                                                                                                                                                                                      stl_vector.h      0x412146     
DEM::rollingContact                                                                                                                                                                                                         5.050s                   5.050s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          DEM::rollingContact(tVect const&, tVect const&, double const&, double const&, double const&)                                                                                                                                                                                                                                                                                                                               DEM.cpp           0x40bd10     
newtonAcc                                                                                                                                                                                                                   5.010s                   5.010s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          newtonAcc(tVect, tVect, tVect)                                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x41253f     
tVect::norm2                                                                                                                                                                                                                4.960s                   4.960s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x40ac01     
tVect::operator-                                                                                                                                                                                                            4.929s                   4.929s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x44cbe8     
DEM::corrector._omp_fn.0                                                                                                                                                                                                    4.829s                   4.829s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          DEM::corrector._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                                   DEM.cpp           0x408b30     
std::vector<node*, std::allocator<node*>>::size                                                                                                                                                                             4.690s                   4.690s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                stl_vector.h      0x457620     
quaternion::operator*                                                                                                                                                                                                       4.520s                   4.520s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x421ca9     
tVect::operator*                                                                                                                                                                                                            4.470s                   4.470s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x4219aa     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                                                                               4.372s                   4.372s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x458b92     
std::vector<node*, std::allocator<node*>>::size                                                                                                                                                                             4.370s                   4.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                stl_vector.h      0x456c87     
[OpenMP fork]                                                                                                                                                                                                               4.359s                       0s                  0s                                               0s                                  0s                        0s                  4.359s                           4.359s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_team_start                                                                                                                                                                                                                                                                                                                                                                                                            team.c            0xb71c       
quaternion::operator*                                                                                                                                                                                                       4.300s                   4.300s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x421e0d     
tVect::operator-                                                                                                                                                                                                            4.299s                   4.299s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4619d0     
func@0x404630                                                                                                                                                                                                               4.270s                   4.270s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          func@0x404630                                                                                                                                                                                                                                                                                                                                                                                                              [Unknown]         0x404630     
tVect::operator/                                                                                                                                                                                                            4.150s                   4.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x41b7eb     
tVect::operator*                                                                                                                                                                                                            4.150s                   4.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x42253a     
LB::generateNode                                                                                                                                                                                                            4.146s                   4.146s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::generateNode(unsigned int const&, types const&)                                                                                                                                                                                                                                                                                                                                                                        LB.cpp            0x458eb0     
tVect::operator-                                                                                                                                                                                                            4.000s                   4.000s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41bbf9     
tVect::operator+                                                                                                                                                                                                            3.960s                   3.960s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41bfd7     
std::max<double>                                                                                                                                                                                                            3.920s                   3.920s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::max<double>(double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                             stl_algobase.h    0x40b53f     
quaternion::operator+                                                                                                                                                                                                       3.910s                   3.910s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422f3b     
tVect::norm2                                                                                                                                                                                                                3.870s                   3.870s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x456e18     
quaternion::operator*                                                                                                                                                                                                       3.870s                   3.870s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                 myvector.inl      0x421c47     
operator*                                                                                                                                                                                                                   3.814s                   3.814s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl      0x4611bf     
tVect::operator+                                                                                                                                                                                                            3.800s                   3.800s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4219f5     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                                                                          3.783s                   3.783s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x459368     
tVect::operator+                                                                                                                                                                                                            3.770s                   3.770s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x44cbe8     
LB::redistributeMass._omp_fn.0                                                                                                                                                                                              3.714s                   3.714s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::redistributeMass._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                             LB.cpp            0x447a10     
gomp_init_task                                                                                                                                                                                                              3.669s                       0s                  0s                                               0s                                  0s                        0s                  3.669s                           3.669s                                 0s                                0s                              0s                            0s  libgomp.so.1    gomp_init_task                                                                                                                                                                                                                                                                                                                                                                                                             task.c            0x173d0      
quaternion::operator+                                                                                                                                                                                                       3.660s                   3.660s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422fab     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                                                                         3.489s                   3.489s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x44cb0e     
tVect::operator*                                                                                                                                                                                                            3.299s                   3.299s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422c16     
quaternion::normalize                                                                                                                                                                                                       3.288s                   3.288s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::normalize(void)                                                                                                                                                                                                                                                                                                                                                                                                myvector.inl      0x422fdf     
tVect::norm2                                                                                                                                                                                                                3.190s                   3.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::norm2(void) const                                                                                                                                                                                                                                                                                                                                                                                                   myvector.inl      0x44df38     
tVect::operator-                                                                                                                                                                                                            3.140s                   3.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x41b838     
std::vector<std::vector<Elongation, std::allocator<Elongation>>, std::allocator<std::vector<Elongation, std::allocator<Elongation>>>>::operator[]                                                                           3.110s                   3.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<std::vector<Elongation, std::allocator<Elongation>>, std::allocator<std::vector<Elongation, std::allocator<Elongation>>>>::operator[](unsigned long)                                                                                                                                                                                                                                                           stl_vector.h      0x412094     
