Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module           Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File     Start Address
LB::redistributeMass._omp_fn.0                                                                                                                                     1.350s                   1.350s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::redistributeMass._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                             LB.cpp          0x44b520     
std::ostream::operator<<                                                                                                                                           1.300s                   1.300s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x4427c8     
std::ostream::operator<<                                                                                                                                           1.300s                   1.300s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x442520     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      1.282s                   1.282s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h       0x45c44c     
std::ostream::operator<<                                                                                                                                           1.270s                   1.270s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x442236     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 1.205s                   1.205s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h       0x4627f0     
std::ostream::operator<<                                                                                                                                           1.160s                   1.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x4421ec     
std::ostream::operator<<                                                                                                                                           1.140s                   1.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x442320     
std::ostream::operator<<                                                                                                                                           1.080s                   1.080s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x4424e2     
std::ostream::operator<<                                                                                                                                           1.070s                   1.070s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x442259     
gomp_loop_ordered_static_start                                                                                                                                     1.069s                   1.069s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_loop_ordered_static_start                                                                                                                                                                                                                                                                                                                                                                                             loop.c          0x10320      
std::ostream::operator<<                                                                                                                                           1.020s                   1.020s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream         0x442543     
local_Rb_tree_increment                                                                                                                                            0.980s                   0.980s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           local_Rb_tree_increment                                                                                                                                                                                                                                                                                                                                                                                                    tree.cc         0x473a94     
futex_wake                                                                                                                                                         0.971s                       0s              0.971s                                           0.971s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     futex_wake                                                                                                                                                                                                                                                                                                                                                                                                                 futex.h         0x208cb      
IO::exportLagrangianParaviewFluid                                                                                                                                  0.920s                   0.920s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           IO::exportLagrangianParaviewFluid(LB const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)                                                                                                                                                                                                                                                                                        IO.cpp          0x404610     
node::isPeriodic                                                                                                                                                   0.920s                   0.920s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::isPeriodic(void) const                                                                                                                                                                                                                                                                                                                                                                                               node.cpp        0x464dd0     
gomp_loop_ordered_static_next                                                                                                                                      0.810s                   0.810s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_loop_ordered_static_next                                                                                                                                                                                                                                                                                                                                                                                              loop.c          0x11480      
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      0.800s                   0.800s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h       0x45deb0     
futex_wait                                                                                                                                                         0.731s                       0s              0.731s                                           0.731s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     futex_wait                                                                                                                                                                                                                                                                                                                                                                                                                 futex.h         0x2061d      
node::isActive                                                                                                                                                     0.680s                   0.680s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::isActive(void) const                                                                                                                                                                                                                                                                                                                                                                                                 node.cpp        0x464cd0     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::erase                                      0.610s                   0.610s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::erase(unsigned int const&)                                                                                                                                                                                                                                                                         stl_map.h       0x46287d     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::insert<std::pair<unsigned int, node>>      0.600s                   0.600s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::insert<std::pair<unsigned int, node>>(std::pair<unsigned int, node>&&)                                                                                                                                                                                                                             stl_map.h       0x45cc0a     
node::isTopography                                                                                                                                                 0.590s                   0.590s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::isTopography(void) const                                                                                                                                                                                                                                                                                                                                                                                             node.cpp        0x464d80     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.581s                   0.581s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h       0x45cc74     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.520s                   0.520s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h       0x462950     
futex_wait                                                                                                                                                         0.510s                       0s              0.510s                                           0.510s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     futex_wait                                                                                                                                                                                                                                                                                                                                                                                                                 futex.h         0x207ce      
std::vector<node*, std::allocator<node*>>::erase                                                                                                                   0.480s                   0.480s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::vector<node*, std::allocator<node*>>::erase(__gnu_cxx::__normal_iterator<node* const*, std::vector<node*, std::allocator<node*>>>)                                                                                                                                                                                                                                                                                    stl_vector.h    0x462e2c     
_int_free                                                                                                                                                          0.471s                   0.471s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6        _int_free                                                                                                                                                                                                                                                                                                                                                                                                                  [Unknown]       0x80e10      
LB::eraseNode                                                                                                                                                      0.470s                   0.470s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::eraseNode(unsigned int const&)                                                                                                                                                                                                                                                                                                                                                                                         LB.cpp          0x4627f0     
node::scatterMass                                                                                                                                                  0.460s                   0.460s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::scatterMass(double&)                                                                                                                                                                                                                                                                                                                                                                                                 node.cpp        0x404c82     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.460s                   0.460s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h       0x45c4a0     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::~map                                       0.460s                   0.460s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::~map(void)                                                                                                                                                                                                                                                                                         stl_map.h       0x430310     
std::vector<node*, std::allocator<node*>>::push_back                                                                                                               0.450s                   0.450s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::vector<node*, std::allocator<node*>>::push_back(node* const&)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h    0x465317     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.390s                   0.390s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h       0x45c890     
node::getSolidIndex                                                                                                                                                0.378s                   0.378s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::getSolidIndex(void) const                                                                                                                                                                                                                                                                                                                                                                                            node.cpp        0x464ee0     
LB::updateMutants                                                                                                                                                  0.370s                   0.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::updateMutants(double&)                                                                                                                                                                                                                                                                                                                                                                                                 LB.cpp          0x462ab0     
std::ostream::_M_insert<long>                                                                                                                                      0.370s                   0.370s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::_M_insert<long>(long)                                                                                                                                                                                                                                                                                                                                                                                        ostream.tcc     0x4d36d0     
std::ostream::operator<<                                                                                                                                           0.360s                   0.360s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::ostream::operator<<(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                     ostream         0x442408     
node::isInsideParticle                                                                                                                                             0.360s                   0.360s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           node::isInsideParticle(void) const                                                                                                                                                                                                                                                                                                                                                                                         node.cpp        0x464eb0     
futex_wait                                                                                                                                                         0.350s                       0s              0.350s                                               0s                              0.350s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     futex_wait                                                                                                                                                                                                                                                                                                                                                                                                                 futex.h         0x2048a      
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.330s                   0.330s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h       0x45c690     
LB::initializeWallBoundaries._omp_fn.0                                                                                                                             0.310s                   0.310s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::initializeWallBoundaries._omp_fn.0                                                                                                                                                                                                                                                                                                                                                                                     LB.cpp          0x461100     
gomp_team_barrier_wait_final                                                                                                                                       0.300s                       0s              0.300s                                           0.300s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1     gomp_team_barrier_wait_final                                                                                                                                                                                                                                                                                                                                                                                               bar.c           0x20960      
LB::initializeInterface                                                                                                                                            0.290s                   0.290s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           LB::initializeInterface(double)                                                                                                                                                                                                                                                                                                                                                                                            LB.cpp          0x45dc00     
std::vector<node*, std::allocator<node*>>::_M_range_insert<__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>>                        0.290s                   0.290s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           std::vector<node*, std::allocator<node*>>::_M_range_insert<__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>>(__gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, __gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, __gnu_cxx::__normal_iterator<node**, std::vector<node*, std::allocator<node*>>>, std::forward_iterator_tag)  vector.tcc      0x44b970     
operator*                                                                                                                                                          0.280s                   0.280s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird           operator*(double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                                                     myvector.inl    0x464c30     
